_norm_symbol,symbol,exchange,file,records,first_timestamp,last_timestamp,listing_date,delisting_date,universe_status,expected_trading_days,observed_trading_days,missing_trading_days,coverage_status,audited_expected_trading_days,audited_missing_trading_days,audited_coverage_status
000001.SZ,000001,SZ,data/stock_1m/SZ/000001.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1991-04-03,,L,4030,4030,0,complete,4030,0,complete
000002.SZ,000002,SZ,data/stock_1m/SZ/000002.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1991-01-29,,L,4030,4030,0,complete,4030,0,complete
000004.SZ,000004,SZ,data/stock_1m/SZ/000004.parquet,962170,2010-01-04 09:30:00,2026-07-13 15:00:00,1990-12-01,,L,4030,4008,22,partial,4027,19,partial
000006.SZ,000006,SZ,data/stock_1m/SZ/000006.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-04-27,,L,4030,4030,0,complete,4030,0,complete
000007.SZ,000007,SZ,data/stock_1m/SZ/000007.parquet,956581,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-04-13,,L,4030,3970,60,partial,3994,24,partial
000008.SZ,000008,SZ,data/stock_1m/SZ/000008.parquet,951520,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-05-07,,L,4030,3949,81,partial,3972,23,partial
000009.SZ,000009,SZ,data/stock_1m/SZ/000009.parquet,963570,2010-01-04 09:30:00,2026-08-07 10:21:00,1991-06-25,,L,4030,3999,31,partial,4003,4,partial
000010.SZ,000010,SZ,data/stock_1m/SZ/000010.parquet,947182,2010-01-04 09:30:00,2026-08-07 10:21:00,1995-10-27,,L,4030,3931,99,partial,3933,2,partial
000011.SZ,000011,SZ,data/stock_1m/SZ/000011.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-03-30,,L,4030,4030,0,complete,4030,0,complete
000012.SZ,000012,SZ,data/stock_1m/SZ/000012.parquet,965257,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-02-28,,L,4030,4006,24,partial,4006,0,complete
000014.SZ,000014,SZ,data/stock_1m/SZ/000014.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-06-02,,L,4030,4030,0,complete,4030,0,complete
000016.SZ,000016,SZ,data/stock_1m/SZ/000016.parquet,958268,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-03-27,,L,4030,3977,53,partial,3977,0,complete
000017.SZ,000017,SZ,data/stock_1m/SZ/000017.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-03-31,,L,4030,4030,0,complete,4030,0,complete
000019.SZ,000019,SZ,data/stock_1m/SZ/000019.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-10-12,,L,4030,4030,0,complete,4030,0,complete
000020.SZ,000020,SZ,data/stock_1m/SZ/000020.parquet,956822,2010-01-04 09:30:00,2026-08-07 10:21:00,1992-04-28,,L,4030,3971,59,partial,3971,0,complete
000021.SZ,000021,SZ,data/stock_1m/SZ/000021.parquet,966462,2010-01-04 09:30:00,2026-08-07 10:21:00,1994-02-02,,L,4030,4011,19,partial,4011,0,complete
000025.SZ,000025,SZ,data/stock_1m/SZ/000025.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-06-21,,L,4030,4030,0,complete,4030,0,complete
000026.SZ,000026,SZ,data/stock_1m/SZ/000026.parquet,969354,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-06-03,,L,4030,4023,7,partial,4023,0,complete
000027.SZ,000027,SZ,data/stock_1m/SZ/000027.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-09-03,,L,4030,4030,0,complete,4030,0,complete
000028.SZ,000028,SZ,data/stock_1m/SZ/000028.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-08-09,,L,4030,4030,0,complete,4030,0,complete
000029.SZ,000029,SZ,data/stock_1m/SZ/000029.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-09-15,,L,4030,4030,0,complete,4030,0,complete
000030.SZ,000030,SZ,data/stock_1m/SZ/000030.parquet,971041,2010-01-04 09:30:00,2026-08-07 10:21:00,1993-09-29,,L,4030,4030,0,complete,4030,0,complete
